Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Stormcatch Mentor,BLB,Bloomburrow,234,foil,uncommon,1,95813,99754055-6d67-4fde-aff3-41f6af6ea764,0.16,false,false,near_mint,en,EUR
Druid of the Spade,BLB,Bloomburrow,170,normal,common,3,96054,6b485cf7-bad0-4824-9ba7-cb112ce4769f,0.06,false,false,near_mint,es,EUR
Warren Elder,BLB,Bloomburrow,37,normal,common,3,96030,4bf20069-5a20-4f95-976b-6af2b69f3ad0,0.05,false,false,near_mint,es,EUR
Captain of the Watch,M10,Magic 2010,6,normal,rare,1,23347,e6c26b98-790e-403b-b94b-261a4c92e721,0.8,false,false,near_mint,en,EUR
Myr Galvanizer,SOM,Scars of Mirrodin,181,normal,uncommon,3,20851,e55ca835-b7f3-497c-b0bc-50a182cabecf,1.02,false,false,near_mint,es,EUR
Undermine,DDH,Duel Decks: Ajani vs. Nicol Bolas,62,normal,rare,1,18930,a23735a3-8ec8-48ae-8bd0-3b6b782690c8,0.48,false,false,near_mint,es,EUR
Captain of the Watch,M10,Magic 2010,6,normal,rare,1,23347,e6c26b98-790e-403b-b94b-261a4c92e721,0.8,false,false,near_mint,es,EUR
The Elderspell,WAR,War of the Spark,89,normal,rare,1,44315,a3b16625-7faf-4de6-abf7-d397988e32fb,0.39,false,false,near_mint,en,EUR
Smothering Abomination,BFZ,Battle for Zendikar,99,foil,rare,1,10252,cd81d0de-01a3-4f28-8a2b-c2e6f36a03c4,1.79,false,false,near_mint,en,EUR
Flame Burst,ODY,Odyssey,194,normal,common,2,31983,64bbd438-7df2-4d7b-88ad-4531ebaf3931,0.2,false,false,near_mint,en,EUR
Phyrexian Obliterator,ONE,Phyrexia: All Will Be One,105,normal,mythic,1,78231,67a9c38b-6b3a-4056-a87c-fc48446f854f,7.8,false,false,near_mint,en,EUR
"Geth, Thane of Contracts",ONE,Phyrexia: All Will Be One,306,normal,rare,1,78822,c0957749-7539-4aa4-b89c-61c0e8ad0c55,0.09,false,false,near_mint,en,EUR
Evolved Spinoderm,ONE,Phyrexia: All Will Be One,313,foil,rare,1,78782,b1dd555e-cd27-4b9e-9ee6-b785242637d6,0.24,false,false,near_mint,en,EUR
Ezuri's Brigade,SOM,Scars of Mirrodin,121,normal,rare,1,20911,079a6b44-3492-4484-aed1-5cd2449e702d,0.21,false,false,near_mint,en,EUR
Angelheart Vial,ROE,Rise of the Eldrazi,215,normal,rare,1,21752,4cf1fe7a-eb30-4252-bada-ce3f8096e091,0.39,false,false,near_mint,en,EUR
Prototype Portal,SOM,Scars of Mirrodin,195,normal,rare,1,20837,10b264aa-303b-4982-a653-9573d39c28de,0.26,false,false,near_mint,en,EUR
Auriok Edgewright,SOM,Scars of Mirrodin,3,normal,uncommon,1,21029,0f76b18a-396b-41f5-b34b-ac232b7f316b,0.18,false,false,near_mint,en,EUR
Bellowing Tanglewurm,SOM,Scars of Mirrodin,111,normal,uncommon,1,20921,44eb3e3a-60ee-4293-a321-daa452d4c70d,1.24,false,false,near_mint,en,EUR
Myr Propagator,SOM,Scars of Mirrodin,182,normal,rare,1,20850,837e4b25-d70b-48d8-aaad-9622ad93e154,1.01,false,false,near_mint,en,EUR
Myr Galvanizer,SOM,Scars of Mirrodin,181,normal,uncommon,1,20851,e55ca835-b7f3-497c-b0bc-50a182cabecf,0.98,false,false,near_mint,es,EUR
Molten Psyche,SOM,Scars of Mirrodin,98,normal,rare,1,20934,57e2382d-1f27-40d1-b809-c188c19ebc72,1.69,false,false,near_mint,en,EUR
Elusive Tormentor // Insidious Mist,SOI,Shadows over Innistrad,108,normal,rare,2,8888,a32ce90d-9138-4aca-aa3c-a558dd16fad8,0.21,false,false,near_mint,en,EUR
Cosmic Larva,5DN,Fifth Dawn,63,normal,rare,1,29432,deaa0b9b-258e-4daf-8fec-ce64864d6bbf,0.18,false,false,near_mint,es,EUR
Triskaidekaphobia,SOI,Shadows over Innistrad,141,normal,rare,2,8855,8060b717-94c9-4962-9676-0b1ca6a357a8,0.06,false,false,near_mint,en,EUR
"Wrexial, the Risen Deep",WWK,Worldwake,120,normal,mythic,1,22071,deeb989b-aff4-4232-9ae1-c4f73dacf728,1.69,false,false,near_mint,en,EUR
Fevered Visions,SOI,Shadows over Innistrad,244,normal,rare,1,8752,3ee3fc2b-c2e4-421d-ac1d-6a111bb44f44,0.6,false,false,near_mint,en,EUR
Phyrexia's Core,NPH,New Phyrexia,165,normal,uncommon,1,19720,db36c8e7-0c13-4f0d-9947-68cb0e9ea239,0.17,false,false,near_mint,en,EUR
Xenograft,NPH,New Phyrexia,51,normal,rare,1,19834,f52f08e1-b234-42e4-8f1f-485a4f6edb3b,0.64,false,false,near_mint,en,EUR
Shrine of Limitless Power,NPH,New Phyrexia,154,normal,uncommon,1,19731,61873223-f378-4478-9cf3-f1326eb76834,0.25,false,false,near_mint,en,EUR
Corrupted Grafstone,SOI,Shadows over Innistrad,253,normal,rare,1,8743,1ffa34cc-4042-4d2b-a7a0-eca0b593eeb6,0.15,false,false,near_mint,en,EUR
Deathcap Cultivator,SOI,Shadows over Innistrad,202,normal,rare,1,8794,fc4aee46-ac42-4ede-ad06-906e2955a9d3,0.15,false,false,near_mint,en,EUR
Brain in a Jar,SOI,Shadows over Innistrad,252,normal,rare,1,8744,88ecfcbe-e8db-4f08-aa8b-5b7b3e6c6ce7,0.16,false,false,near_mint,en,EUR
Shrine of Loyal Legions,NPH,New Phyrexia,155,normal,uncommon,1,19730,d13563c7-abe0-4760-9b4c-841de47dbc46,0.13,false,false,near_mint,en,EUR
Magma Phoenix,M11,Magic 2011,150,normal,rare,1,21239,b3857c9b-136d-4e6a-bd3b-92dab1b71947,0.24,false,false,near_mint,es,EUR
Sadistic Sacrament,ZEN,Zendikar,110,normal,rare,2,22514,f3d82fd7-6af1-4a97-9d51-486a41224b35,0.49,false,false,near_mint,es,EUR
"Bruna, the Fading Light",EMN,Eldritch Moon,15a,normal,rare,1,8322,27907985-b5f6-4098-ab43-15a0c2bf94d5,1.86,false,false,near_mint,en,EUR
Emrakul's Evangel,EMN,Eldritch Moon,156,normal,rare,1,8178,51c21822-972f-4c20-ac3b-80ba9af101c5,0.21,false,false,near_mint,en,EUR
Recurring Insight,ROE,Rise of the Eldrazi,82,normal,rare,1,21885,db92d00c-e5eb-4e69-9ebc-fec6d9c0f71e,1.43,false,false,near_mint,en,EUR
Aegis Angel,W16,Welcome Deck 2016,1,normal,rare,1,9098,44a93838-caea-41da-bf00-163b40cfb758,0.22,false,false,near_mint,en,EUR
Haunting Echoes,M11,Magic 2011,99,normal,rare,1,21290,5aa96bc7-b92f-4df5-89b5-0793b9e56509,0.31,false,false,near_mint,es,EUR
"Nicol Bolas, Planeswalker",DDH,Duel Decks: Ajani vs. Nicol Bolas,42,foil,mythic,1,18950,4d156ed8-ca04-43ca-887e-6c411bf6332e,2.45,false,false,near_mint,es,EUR
Caress of Phyrexia,NPH,New Phyrexia,53,normal,uncommon,1,19832,5ef987ad-a3dc-4ef5-90ec-9a8cfa95965b,0.26,false,false,near_mint,en,EUR
Keening Stone,ROE,Rise of the Eldrazi,219,normal,rare,1,21748,f6f9355b-3a3e-417c-9fbc-afddb4d8f9af,0.35,false,false,near_mint,en,EUR
Hero of Goma Fada,BFZ,Battle for Zendikar,31,normal,rare,1,10320,4ca3400c-0687-4a92-9236-f5a0d7eae337,0.14,false,false,near_mint,en,EUR
Due Respect,NPH,New Phyrexia,8,normal,uncommon,1,19877,a7159850-964b-4f12-957f-614eb0570544,0.17,false,false,near_mint,en,EUR
Phyrexian Ingester,NPH,New Phyrexia,41,normal,rare,1,19844,376e9829-23eb-4b43-9ec7-246cb3156e95,0.19,false,false,near_mint,en,EUR
Terror Tide,LCI,The Lost Caverns of Ixalan,127,normal,rare,1,88254,0a281d2c-20b9-4887-a924-9be6c07b7629,0.25,false,false,near_mint,en,EUR
Agate-Blade Assassin,BLB,Bloomburrow,82,normal,common,1,96017,39ebb84a-1c52-4b07-9bd0-b360523b3a5b,0.05,false,false,near_mint,es,EUR
Ravine Raider,BLB,Bloomburrow,106,normal,common,1,96370,874510be-7ecd-4eff-abad-b9594eb4821a,0.06,false,false,near_mint,es,EUR
Veteran Guardmouse,BLB,Bloomburrow,237,normal,common,1,95771,3db43c46-b616-4ef8-80ed-0fab345ab3d0,0.09,false,false,near_mint,es,EUR
Reptilian Recruiter,BLB,Bloomburrow,149,normal,uncommon,1,96072,81dec453-c9d7-42cb-980a-c82f82bede76,0.04,false,false,near_mint,es,EUR
Longstalk Brawl,BLB,Bloomburrow,182,normal,common,1,95966,c7ef748c-b5e5-4e7d-bf2e-d3e6c08edb42,0.12,false,false,near_mint,es,EUR
The Rollercrusher Ride,DSK,Duskmourn: House of Horror,155,foil,mythic,1,98842,70019956-fca1-4090-b3b6-6a963528e05b,1.69,false,false,near_mint,en,EUR
Cryptid Inspector,DSK,Duskmourn: House of Horror,174,foil,common,1,98858,820c2932-2e23-4f67-92d0-a630aec6f1b4,0.08,false,false,near_mint,en,EUR
Acrobatic Cheerleader,DSK,Duskmourn: House of Horror,1,foil,common,1,98713,6f1a7590-3eee-4803-b192-d4fb771e6a86,0.05,false,false,near_mint,en,EUR
"Solphim, Mayhem Dominus",ONE,Phyrexia: All Will Be One,150,normal,mythic,1,78830,c3a0c7f3-7fb9-43de-a9af-96532c31e5ed,15.82,false,false,near_mint,en,EUR
Gaea's Revenge,ORI,Magic Origins,177,normal,rare,1,10765,50fad73f-c6eb-46d7-8971-9be4d7d7b75f,0.26,false,false,near_mint,en,EUR
Slaughter Singer,ONE,Phyrexia: All Will Be One,216,foil,uncommon,1,78532,4a37aa46-bcf3-48a5-9f74-05e4878ad96f,0.29,false,false,near_mint,en,EUR
Tainted Observer,ONE,Phyrexia: All Will Be One,217,normal,uncommon,1,78804,b9cba67a-b714-49b0-9797-24aca283f162,0.12,false,false,near_mint,en,EUR
Unnatural Restoration,ONE,Phyrexia: All Will Be One,191,normal,uncommon,1,78536,4d4e6a91-59cc-4f7f-af25-16acabdafb1a,0.19,false,false,near_mint,en,EUR
Bladed Ambassador,ONE,Phyrexia: All Will Be One,5,normal,uncommon,1,78391,0bd8d2b8-4caf-4349-9538-0dfbebf0ce1b,0.05,false,false,near_mint,en,EUR
Resistance Reunited,ONE,Phyrexia: All Will Be One,31,normal,uncommon,1,78808,bbc4b5ca-557e-4465-9725-9e7a15590258,0.05,false,false,near_mint,en,EUR
Against All Odds,ONE,Phyrexia: All Will Be One,1,normal,uncommon,1,78512,3cd8dd4e-6892-49d7-8fae-97d04f9f6c84,0.09,false,false,near_mint,en,EUR
Avacyn's Judgment,SOI,Shadows over Innistrad,145,normal,rare,1,8851,0c5f44ce-1464-4282-9afa-20e9ea44c613,0.11,false,false,near_mint,en,EUR
Myr Galvanizer,SOM,Scars of Mirrodin,181,normal,uncommon,1,20851,e55ca835-b7f3-497c-b0bc-50a182cabecf,0.88,false,false,near_mint,en,EUR
Floodpits Drowner,DSK,Duskmourn: House of Horror,59,foil,uncommon,1,98888,a6a62aa3-8edb-4000-8ebd-15ec4b00eed7,0.32,false,false,near_mint,en,EUR
Essence Capture,OTP,Breaking News,10,normal,uncommon,1,93358,d2bcfba6-fbd8-487c-8a89-2327c3d07870,0.06,false,false,near_mint,en,EUR
Slaughter Specialist,MID,Innistrad: Midnight Hunt,122,normal,rare,1,63438,cb83e33c-810e-4de3-800d-2038f38a1eda,0.4,false,false,near_mint,en,EUR
Briarbridge Tracker,MID,Innistrad: Midnight Hunt,172,normal,rare,1,63472,e215a7bd-112f-4228-a99e-5a8cb4be5cee,0.1,false,false,near_mint,en,EUR
Reluctant Role Model,DSK,Duskmourn: House of Horror,303,normal,rare,1,98789,1fcea7eb-3174-4549-a1de-8dda577cd0b9,0.25,false,false,near_mint,en,EUR
Reluctant Role Model,DSK,Duskmourn: House of Horror,26,normal,rare,1,98821,4dde86d6-34a0-4b3b-a46a-d9941501d08c,0.27,false,false,near_mint,en,EUR
Pileated Provisioner,BLB,Bloomburrow,25,normal,common,5,96102,ae442cd6-c4df-4aad-9b1d-ccd936c5ec96,0.04,false,false,near_mint,es,EUR
Agate-Blade Assassin,BLB,Bloomburrow,82,normal,common,3,96017,39ebb84a-1c52-4b07-9bd0-b360523b3a5b,0.09,false,false,near_mint,es,EUR
Thistledown Players,BLB,Bloomburrow,35,normal,common,3,95960,afa8d83f-8586-4127-8b55-9715e9547488,0.05,false,false,near_mint,es,EUR
Sinew Dancer,ONE,Phyrexia: All Will Be One,32,normal,common,1,78929,ebad4fcc-4f78-48dc-b236-c78c22edc1e9,0.04,false,false,near_mint,en,EUR
Shatter the Sky,THB,Theros Beyond Death,37,normal,rare,1,47025,b706977b-db8e-4810-882d-ed3745404489,0.22,false,false,near_mint,en,EUR
Unwanted Remake,DSK,Duskmourn: House of Horror,39,normal,uncommon,1,98644,7b54447f-1daf-4352-b5c3-3c0ec8b8f4d0,0.25,false,false,near_mint,en,EUR
Swiftblade Vindicator,FDN,Foundations,246,normal,rare,1,101372,f94618ec-000c-4371-b925-05ff82bfe221,0.17,false,false,near_mint,es,EUR
Starforged Sword,BLB,Bloomburrow,249,normal,uncommon,1,96110,c23d8e96-b972-4c6c-b0c4-b6627621f048,0.04,false,false,near_mint,es,EUR
Bumbleflower's Sharepot,BLB,Bloomburrow,244,normal,common,1,95924,5f0affd5-5dcd-4dd1-a694-37a9aedf4084,0.05,false,false,near_mint,es,EUR
Rust-Shield Rampager,BLB,Bloomburrow,190,normal,common,1,96117,c96b01f5-83de-4237-a68d-f946c53e31a6,0.04,false,false,near_mint,es,EUR
Seedpod Squire,BLB,Bloomburrow,232,normal,common,3,95852,f3684577-51ce-490e-9b59-b19c733be466,0.05,false,false,near_mint,es,EUR
